,listing code,brand,model,reference number,dealer product code,movement,case material,bracelet material,year of production,condition,scope of delivery,gender,location,price,url
20,c1rqm4,roger dubuis,excalibur,<blank>,210000000661  - 00006613,automatic,rose gold,crocodile skin,unknown,"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,united states of america; florida; naples,402500,https://www.chrono24.com/rogerdubuis/excalibur-minute-repeater-flying-tourbillon-perpetual-calendar--id20237998.htm
21,byjc32,roger dubuis,hommage,rddbho0570,w203169,manual winding,rose gold,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,317251,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbho0570------id20087139.htm
22,btok66,roger dubuis,excalibur,rddbex0785,<blank>,automatic,rose gold,crocodile skin,2020 (approximation),"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,hong kong; hong kong,315492,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-limited-28-pcs-knights-of-the-round-table-iv-rose-gold--new-full-set--id19860630.htm
23,cl30o0,roger dubuis,excalibur,rd105sq (rddbex0674),rdu089,manual winding,carbon,leather,2019 (approximation),"very good 
                     (worn with little to no signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; los angeles,279500,https://www.chrono24.com/rogerdubuis/excalibur-spider-rd105sq-rddbex0674-double-tourbillon-carbon18k-rose-gold-bezel-28pc--id21139080.htm
24,5gkba1,roger dubuis,excalibur,rddbex0269,<blank>,manual winding,platinum,platinum,unknown,"unworn 
                     (mint condition; without signs of wear)",original box; original papers,men's watch/unisex,united states of america; florida; miami,274000,https://www.chrono24.com/rogerdubuis/roger-dubuis--excalibur-skeleton-double-flying-tourbillon--id9170902.htm
25,4og9o6,roger dubuis,excalibur,rddbex0481,rddbex0481,manual winding,titanium,rubber,2015,"new 
                     (brand new; without any signs of wear)",original box; no original papers,men's watch/unisex,united states of america; new york; brooklyn,264000,https://www.chrono24.com/rogerdubuis/excalibur-spider-skeleton-double-flying-tourbillon-rddbex0481--id7859292.htm
26,byjbn7,roger dubuis,excalibur,rddbex0395,w193782,manual winding,red gold,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,235485,https://www.chrono24.com/rogerdubuis/-roger-dubuis--45---rddbex0395------id20087123.htm
27,cn3x65,roger dubuis,excalibur,rddbex0395,w174116,manual winding,red gold,<blank>,unknown,"good 
                     (light signs of wear or scratches)",original box; original papers,<blank>,japan; fukuoka chuo-ku; fukuoka,235485,https://www.chrono24.com/rogerdubuis/-roger-dubuis----rddbex0395------id21233562.htm
28,7v4t86,roger dubuis,excalibur,rddbex0613,<blank>,manual winding,carbon,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united kingdom; london,214364,https://www.chrono24.com/rogerdubuis/roger-dubuis-excalibur-aventador-s-45mm--id13209884.htm
29,bissm2,roger dubuis,excalibur,rddbex0471,w21192,manual winding,titanium,rubber,unknown,"new 
                     (brand new; without any signs of wear)",original box; original papers,men's watch/unisex,united states of america; california; newport beach,208450,https://www.chrono24.com/rogerdubuis/excalibur-spider-double-flying-tourbillon-rddbex0589--id19352902.htm
